# szkennelt pontfelho, gomb
-0.9867000 0.7469000 66.5603000
-0.9866000 0.7186000 66.7096000
-0.9866000 0.7467000 66.5753000
-0.9866000 0.7646000 66.7170000
-0.9866000 0.7725000 66.7154000
-0.9865000 0.6863000 66.6585000
-0.9865000 0.7007000 66.6930000
-0.9865000 0.7112000 66.7044000
-0.9865000 0.7467000 66.5790000
-0.9865000 0.7506000 66.5593000
-0.9864000 0.6901000 66.6298000
-0.9863000 0.7683000 66.7164000
-0.9862000 0.6862000 66.6552000
-0.9862000 0.6898000 66.6750000
-0.9862000 0.6970000 66.6871000
-0.9862000 0.7426000 66.5839000
-0.9861000 0.6861000 66.6483000
-0.9861000 0.6861000 66.6518000
-0.9861000 0.7455000 66.7177000
-0.9861000 0.7502000 66.5745000
-0.9861000 0.7604000 66.7181000
-0.9859000 0.6935000 66.6221000
-0.9859000 0.7078000 66.6042000
-0.9859000 0.7500000 66.5634000
-0.9856000 0.7263000 66.5922000
-0.9855000 0.6929000 66.6814000
-0.9855000 0.7035000 66.6961000
-0.9853000 0.6891000 66.6686000
-0.9853000 0.6892000 66.6720000
-0.9853000 0.7293000 66.7145000
-0.9853000 0.7372000 66.7163000
-0.9852000 0.7532000 66.5814000
-0.9851000 0.7985000 66.6963000
-0.9849000 0.6891000 66.6341000
-0.9849000 0.7036000 66.6092000
-0.9849000 0.7066000 66.6991000
-0.9849000 0.7483000 66.7175000
-0.9849000 0.7492000 66.5826000
-0.9848000 0.7250000 66.7122000
-0.9846000 0.6962000 66.6183000
-0.9845000 0.6994000 66.6905000
-0.9845000 0.7134000 66.7045000
-0.9844000 0.6957000 66.6846000
-0.9842000 0.7449000 66.5840000
-0.9841000 0.6919000 66.6787000
-0.9840000 0.6994000 66.6142000
-0.9838000 0.6883000 66.6382000
-0.9838000 0.6920000 66.6267000
-0.9837000 0.7093000 66.7022000
-0.9837000 0.7165000 66.7075000
-0.9836000 0.7022000 66.6936000
-0.9836000 0.7320000 66.7145000
-0.9835000 0.6880000 66.6660000
-0.9834000 0.7780000 66.7117000
-0.9833000 0.7200000 66.7103000
-0.9832000 0.7507000 66.7175000
-0.9830000 0.6876000 66.6594000
-0.9830000 0.6877000 66.6421000
-0.9830000 0.6912000 66.6757000
-0.9829000 0.7051000 66.6966000
-0.9829000 0.7393000 66.7166000
-0.9829000 0.7542000 66.7169000
-0.9828000 0.6875000 66.6560000
-0.9825000 0.6873000 66.6631000
-0.9825000 0.6945000 66.6820000
-0.9825000 0.7273000 66.7124000
-0.9824000 0.6873000 66.6459000
-0.9824000 0.6978000 66.6881000
-0.9824000 0.7427000 66.7160000
-0.9823000 0.6871000 66.6529000
-0.9823000 0.6908000 66.6727000
-0.9823000 0.7083000 66.6995000
-0.9822000 0.6871000 66.6495000
-0.9821000 0.6945000 66.6232000
-0.9821000 0.7011000 66.6909000
-0.9821000 0.7998000 66.6933000
-0.9820000 0.7610000 66.7157000
-0.9819000 0.6907000 66.6312000
-0.9819000 0.7728000 66.7132000
-0.9818000 0.7115000 66.7023000
-0.9818000 0.7229000 66.7101000
-0.9818000 0.7346000 66.7145000
-0.9817000 0.6974000 66.6850000
-0.9817000 0.7151000 66.7050000
-0.9815000 0.6902000 66.6696000
-0.9814000 0.6936000 66.6792000
-0.9813000 0.7186000 66.7078000
-0.9812000 0.7567000 66.7168000
-0.9812000 0.7575000 66.5854000
-0.9811000 0.7079000 66.6059000
-0.9811000 0.7152000 66.6004000
-0.9810000 0.7839000 66.7076000
-0.9809000 0.6972000 66.6194000
-0.9809000 0.7268000 66.5938000
-0.9808000 0.6897000 66.6631000
-0.9808000 0.6897000 66.6666000
-0.9808000 0.7641000 66.7153000
-0.9807000 0.7036000 66.6942000
-0.9807000 0.7299000 66.7124000
-0.9805000 0.6931000 66.6762000
-0.9805000 0.7000000 66.6883000
-0.9805000 0.7070000 66.6969000
-0.9804000 0.6895000 66.6599000
-0.9804000 0.6932000 66.6276000
-0.9804000 0.6965000 66.6822000
-0.9803000 0.6895000 66.6356000
-0.9802000 0.7448000 66.7161000
-0.9800000 0.6892000 66.6566000
-0.9800000 0.7674000 66.7149000
-0.9799000 0.6999000 66.6155000
-0.9799000 0.7101000 66.6998000
-0.9798000 0.6892000 66.6393000
-0.9798000 0.7137000 66.7025000
-0.9798000 0.7370000 66.7145000
-0.9797000 0.6890000 66.6464000
-0.9797000 0.6891000 66.6498000
-0.9797000 0.7252000 66.7102000
-0.9796000 0.7297000 66.5935000
-0.9795000 0.6889000 66.6534000
-0.9795000 0.6924000 66.6732000
-0.9795000 0.7032000 66.6113000
-0.9794000 0.6889000 66.6430000
-0.9794000 0.7211000 66.7078000
-0.9792000 0.7477000 66.7158000
-0.9791000 0.6921000 66.6700000
-0.9789000 0.7169000 66.7055000
-0.9789000 0.7325000 66.7123000
-0.9788000 0.6954000 66.6796000
-0.9788000 0.6988000 66.6856000
-0.9788000 0.7023000 66.6917000
-0.9787000 0.6919000 66.6667000
-0.9787000 0.6920000 66.6320000
-0.9787000 0.7510000 66.7153000
-0.9785000 0.7398000 66.7143000
-0.9782000 0.7089000 66.6972000
-0.9780000 0.6951000 66.6245000
-0.9780000 0.7279000 66.7102000
-0.9779000 0.7051000 66.6948000
-0.9778000 0.7091000 66.6068000
-0.9776000 0.6911000 66.6639000
-0.9776000 0.7014000 66.6889000
-0.9776000 0.7539000 66.7150000
-0.9775000 0.6944000 66.6769000
-0.9775000 0.7164000 66.6015000
-0.9774000 0.6911000 66.6363000
-0.9774000 0.6978000 66.6829000
-0.9774000 0.7120000 66.7002000
-0.9773000 0.7234000 66.7079000
-0.9773000 0.7426000 66.7141000
-0.9772000 0.6945000 66.6285000
-0.9772000 0.7351000 66.7123000
-0.9772000 0.7573000 66.7144000
-0.9771000 0.6908000 66.6399000
-0.9770000 0.7193000 66.7055000
-0.9769000 0.6978000 66.6207000
-0.9769000 0.7013000 66.6163000
-0.9769000 0.7317000 66.5939000
-0.9769000 0.7729000 66.7112000
-0.9769000 0.7768000 66.7103000
-0.9768000 0.6906000 66.6436000
-0.9768000 0.7048000 66.6119000
-0.9768000 0.7504000 66.5889000
-0.9767000 0.6904000 66.6609000
-0.9764000 0.6903000 66.6576000
-0.9764000 0.7150000 66.7032000
-0.9764000 0.7306000 66.7101000
-0.9762000 0.7004000 66.6861000
-0.9762000 0.7454000 66.7138000
-0.9762000 0.7605000 66.7140000
-0.9762000 0.7683000 66.7123000
-0.9761000 0.6901000 66.6543000
-0.9761000 0.7074000 66.6948000
-0.9760000 0.6900000 66.6474000
-0.9760000 0.7038000 66.6922000
-0.9759000 0.6899000 66.6509000
-0.9759000 0.6933000 66.6742000
-0.9758000 0.6932000 66.6709000
-0.9758000 0.6935000 66.6327000
-0.9758000 0.6967000 66.6803000
-0.9758000 0.7347000 66.5935000
-0.9757000 0.7108000 66.6976000
-0.9757000 0.7377000 66.7122000
-0.9756000 0.7639000 66.7134000
-0.9754000 0.7034000 66.6891000
-0.9752000 0.6966000 66.6252000
-0.9752000 0.7219000 66.7055000
-0.9752000 0.7258000 66.7080000
-0.9752000 0.7483000 66.7134000
-0.9752000 0.7831000 66.7060000
-0.9751000 0.6928000 66.6678000
-0.9751000 0.7380000 66.5929000
-0.9748000 0.6995000 66.6834000
-0.9748000 0.6998000 66.6210000
-0.9747000 0.7176000 66.7032000
-0.9747000 0.7407000 66.7118000
-0.9747000 0.7451000 66.5911000
-0.9745000 0.6925000 66.6369000
-0.9745000 0.6925000 66.6439000
-0.9744000 0.6923000 66.6612000
-0.9744000 0.6924000 66.6405000
-0.9744000 0.7030000 66.6168000
-0.9744000 0.7136000 66.7008000
-0.9744000 0.7330000 66.7101000
-0.9743000 0.6957000 66.6776000
-0.9743000 0.7098000 66.6949000
-0.9743000 0.7411000 66.5924000
-0.9742000 0.7025000 66.6863000
-0.9742000 0.7178000 66.6023000
-0.9741000 0.6955000 66.6743000
-0.9740000 0.6920000 66.6649000
-0.9740000 0.6921000 66.6477000
-0.9740000 0.6921000 66.6580000
-0.9740000 0.6957000 66.6293000
-0.9740000 0.7059000 66.6924000
-0.9740000 0.7063000 66.6125000
-0.9740000 0.7783000 66.7073000
-0.9739000 0.6954000 66.6709000
-0.9739000 0.7100000 66.6080000
-0.9738000 0.6919000 66.6512000
-0.9737000 0.6918000 66.6547000
-0.9737000 0.7509000 66.7133000
-0.9735000 0.7284000 66.7080000
-0.9734000 0.6952000 66.6332000
-0.9734000 0.7360000 66.7098000
-0.9733000 0.6984000 66.6807000
-0.9732000 0.7432000 66.7117000
-0.9731000 0.6985000 66.6255000
-0.9730000 0.7164000 66.7006000
-0.9727000 0.7201000 66.7032000
-0.9727000 0.7240000 66.7058000
-0.9727000 0.7577000 66.7122000
-0.9726000 0.7013000 66.6837000
-0.9726000 0.7538000 66.7130000
-0.9725000 0.6944000 66.6682000
